,,,Annual Fees in Indian Rupees,,,
S.No.,Name of the College,Courses Offered (UG - Merit Based),"UR/ OBC/ EWS/
Minority",SC,ST,PwD
,,BA(H)Sanskrit,15870,15870,15870,1550
,,BA(H)Sociology,18870,18870,18870,1550
,,BA(H) Jounalism,25870,25870,25870,1550
,,B.A.PROGRAMME,20370,20370,20370,1550
30,Lakshmibai College,BA (Prog),7385,7385,7385,145
,,B Com (Prog),7385,7385,7385,145
,,BA (Hons) Political Science,7385,7385,7385,145
,,B Com (Hons),8385,8385,8385,145
,,BA (Hons) Economics,7385,7385,7385,145
,,BA (Hons) English,7385,7385,7385,145
,,BA (Hons) Hindi,7385,7385,7385,145
,,BA (Hons) History,7385,7385,7385,145
,,BSc (Hons) Maths,8385,8385,8385,145
,,BA (Hons) Philosophy,7385,7385,7385,145
,,BA (Hons) Sanskrit,7385,7385,7385,145
,,BA (Hons) Sociology,7385,7385,7385,145
,,BA (Hons) Psychology,7385,7385,7385,145
,,B Sc (Hons) Home Science,8385,8385,8385,145
31,Maharaja Agrasen College,BA Program,11000,11000,11000,55
,,BA (H) English,11000,11000,11000,55
,,BA (H) Hindi,11000,11000,11000,55
,,BA (H) Journalism,15000,15000,15000,55
,,BA (H) Political Science,11000,11000,11000,55
,,BCom (H),12000,12000,12000,55
,,BSc (H) Electronics,16000,16000,16000,55
,,BSc Physical Science (Computer Sc),15000,15000,15000,55
,,BSc Physical Science (Chemistry),15000,15000,15000,55
,,BSc Mathematical Science,12000,12000,12000,55
32,Maitreyi College,B.A. (P),6980,6980,6980,155
,,B.A.(H) ECONOMICS,6980,6980,6980,155
,,B.A.(H) ENGLISH,6980,6980,6980,155
,,B.A.(H) HINDI,6980,6980,6980,155
,,B.A.(H) HISTORY,6980,6980,6980,155
,,B.A.(H) POLITICAL SCIENCE,6980,6980,6980,155
,,B.A.(H) SANSKRIT,6980,6980,6980,155
,,B.A.(H) SOCIOLOGY,6980,6980,6980,155
,,B.COM.(P),6980,6980,6980,155
,,B.COM.(H),7880,7880,7880,155
,,B.SC. LIFE SCIENCES,9290,9290,9290,155
,,B.SC. PHYSICAL SCIENCES WITH CHEMISTRY,9290,9290,9290,155
,,B.SC. PHYSICAL SCIENCES WITH COMPUTER,9290,9290,9290,155
,,B.SC.(H) BOTANY,8390,8390,8390,155
,,B.SC.(H) CHEMISTRY,8390,8390,8390,155
,,B.SC.(H) MATHEMATICS,8390,8390,8390,155
,,B.SC.(H) PHYSICS,8390,8390,8390,155
,,B.SC.(H) ZOOLOGY,8390,8390,8390,155
,,B.A.(Hons) English,17585,N/A,N/A,55
,,B.A.(Hons) Hindi,17785,N/A,N/A,55
33,Mata Sundri College for Women,B.A.(Hons) Punjabi,5935,N/A,N/A,55
,,B.A.(Hons) Sanskrit,5935,N/A,N/A,55
,,B.A.(Hons) History,17585,N/A,N/A,55
,,B.A.(Hons) Pol. Science,17585,N/A,N/A,55
,,B.A.(Hons) Philosophy,17585,N/A,N/A,55
,,B.A.(Hons) Psychology,19385,N/A,N/A,55
,,B.Sc.(Hons) Mathematics,18985,N/A,N/A,55
,,B.Sc.(Hons) Computer Science,24100,N/A,N/A,55
,,B.Sc.(Hons) Statistics,19235,N/A,N/A,55
,,B.Com.(H),18785,N/A,N/A,55
,,B.A. Programme,17585,N/A,N/A,55
,,B.Com.(Programme),18785,N/A,N/A,55
34,Miranda House,English,14160,14160,14160,76
,,Hindi,14160,14160,14160,76
,,Economics,14160,14160,14160,76
,,History,14160,14160,14160,76
,,Philosophy,14160,14160,14160,76
,,Sanskrit,14160,14160,14160,76
,,Geography,17080,17080,17080,76
,,Sociology,14160,14160,14160,76
,,Political Science,14160,14160,14160,76
,,Music,14560,14560,14560,76
,,Bengali,14160,14160,14160,76
,,Life Science,19490,19490,19490,76
,,Physical Science,18590,18590,18590,76
,,Physics,19200,19200,19200,76
,,Chemistry,19600,19600,19600,76
,,Botany,19800,19800,19800,76
,,Zoology,19800,19800,19800,76
,,Mathematics,17100,17100,17100,76
35,Motilal Nehru College (Day),B.A (Hons) Economics,7150,7150,7150,50
,,B.A (Hons) English,7150,7150,7150,50
,,B.A (Hons) Hindi,7150,7150,7150,50
,,B.A (Hons) History,7150,7150,7150,50
,,B.A (Hons) Political Science,7150,7150,7150,50
,,B.A (Hons) Sanskrit,7150,7150,7150,50
,,B.A Programme,7150,7150,7150,50
,,B.Com,7450,7450,7450,50
,,B.Com (Hons),7450,7450,7450,50
,,B.Sc (Hons) Chemistry,9060,9060,9060,50
,,B.Sc (Hons) Mathematics,10300,10300,10300,50
,,B.Sc (Hons) Physics,9060,9060,9060,50
,,B.Sc. Physical Science with Chemistry,9060,9060,9060,50
,,B.Sc. Physical Science with Computer,9060,9060,9060,50
,,B.A. (Programme),7080,7080,7080,300
,,B.A. (H) English,7080,7080,7080,300
,,B.A. (H) Hindi,7080,7080,7080,300
36,Motilal Nehru College (Evening),B.A. (H) History,7080,7080,7080,300
,,B.A. (H) Pol. Science,7080,7080,7080,300
,,B.Com,7080,7080,7080,300
,,B.Com (H),7080,7080,7080,300
37,PGDAV College,B.A. (Hons) Economics,13700,13700,13700,1135
,,B.A. (Hons) English,13700,13700,13700,1135
,,B.A. (Hons) Hindi,13700,13700,13700,1135
,,B.A. (Hons) History,13700,13700,13700,1135
,,B.A. (Hons) Political Science,13700,13700,13700,1135
,,B.A. (Hons) Sanskrit,13700,13700,13700,1135
,,B.Com. (Hons),13900,13900,13900,1135
,,B.Sc. (Hons) Computer Science,41800,41800,41800,41800
,,B.Sc.(Hons) Mathematics,14100,14100,14100,1135
,,B.Sc. (Hons) Statistics,14500,14500,14500,1135
,,B.A. Programme,,,,
,,B.Com.,13700,13700,13700,1135
,,B.Sc. Mathematical Science,14500,14500,14500,1135
38,P.G.D.A.V. College  (Evening),B.A. (Prog.),14365,14365,14365,1325
,,B.Com (Prog.),15365,15365,15365,1325
,,B.Com (Hons),15565,15565,15565,1325
,,B.A. (H) Hindi,14365,14365,14365,1325
,,B.A. (H) Political Science,14365,14365,14365,1325
,,B.Sc. (H) Mathematics,15765,15765,15765,1325
,,B.A. (H)  Sanskrit,14365,14365,14365,1325
39,Rajdhani College,B.A (H) Economics,11170,11170,11170,55
,,B.A (H) English,11170,11170,11170,55
,,B.A (H) Hindi,11170,11170,11170,55
,,B.A (H) History,11170,11170,11170,55
,,B.A (H) Political Science,11170,11170,11170,55
,,B.A (H) Sanskrit,11170,11170,11170,55
,,B.A (Prog.),11170,11170,11170,55
,,B.Com (H),11170,11170,11170,55
